Название,Тип,Монеты,Класс,Комментарий,Очки
Видео-демки,разное,бронза,,,1
Перекрытие методов при наследовании,2-я лаба,бронза,,,1
Иерархия классов-наследников,2-я лаба,бронза,,,1
Базовый абстрактный класс,2-я лаба,бронза,,,1
Работа с файлами,2-я лаба,бронза,,,1
Небольшие размеры функций,качество кода,бронза,,,1
Разделение функционала по классам,качество кода,бронза,,,1
Продуманная структура классов,качество кода,бронза,,,1
Отсутствие дублирования кода,качество кода,бронза,,,1
«Говорящие» имена (для переменных и т.п.),качество кода,бронза,,,1
Точка остановки,элемент,серебро,элемент,(на которой останавливается игрок с инерцией),1
Музыкальное сопровождение,разное,бронза,,,1
Звуковое сопровождение,разное,бронза,,,1
Песок,элемент,серебро,элемент,"(уничтожается, когда на него ступает игрок)",1
Разные иконки направлений игрока,игрок,бронза,,,1
Клетка выхода,выход,серебро,элемент,,1
Миноискатель для игрока,игрок,бронза,поведение,,1
Инерция для игрока,игрок,бронза,поведение,,1
Гравитация для игрока,игрок,бронза,поведение,,1
Хвост «змейки» (шлейф за игроком),игрок,бронза,,,
Игрок,игрок,серебро,элемент,,1
Задание на «удовлетворительно»,разное,гранит,,,60
Базовое задание на «хорошо»,разное,гранит,,,70
Использование git-репозитория,разное,бронза,,,1
UML-диаграмма классов,разное,бронза,,,1
Использование многопоточности,разное,бронза,,,1
Цветные клетки,дизайн,бронза,,,1
Красивая графика,дизайн,бронза,,,1
Удобный интерфейс,интерфейс,бронза,,,1
Главное меню игры,интерфейс,бронза,меню,,1
Вариативные размеры поля,интерфейс,бронза,,,1
Список лучших результатов,результаты,бронза,,,1
Ввод имени игрока,результаты,бронза,,,1
Подсчёт количества ходов,результаты,бронза,,,1
Подсчёт времени прохождения уровня/игры,результаты,бронза,,,1
"Подсчёт очков, полученных игроком",результаты,бронза,,(хотя бы некоторая формула),1
При получении определённого количества очков,выход,бронза,,,1
При достижении клетки выхода (видимой изначально),выход,бронза,,,1
Клетка выхода появляется через некоторое время,выход,бронза,,,1
Клетка выхода появляется при определённых обстоятельствах,выход,бронза,,,1
Жизни игрока,фича,бронза,,(которые могут уменьшаться),1
Обратный отсчёт времени,результаты,бронза,,(если не успеть выиграть — game over),1
Карта в виде «тора»,фича,бронза,,(если идём через левый край — возникаем справа и т.п.),1
Продуманные интересные уровни,уровни,бронза,,,1
Случайная генерация уровней,уровни,бронза,,(в очень простом виде),1
Пасхалочка типа кода Konami,фича,бронза,,,
Сохранение текущего состояния игры,фича,серебро,,(в дальнейшем можно загрузиться с него и продолжить),1
Управление с помощью мыши (3-я лаба),интерфейс,серебро,,,1
Видимость только ближайшего пространства рядом с игроком (ограниченная видимость),видимость,серебро,,,1
Видимая область перемещается с игроком (фрейм отображаемой области),видимость,серебро,,(как скролл в окне),1
Непроходимая и неуничтожимая стена,препятствия,серебро,элемент,,1
Уничтожимая стена,препятствия,серебро,элемент,,1
Восстанавливающаяся стена,препятствия,серебро,элемент,,1
Вода,препятствия,серебро,элемент,"(пройти нельзя, но выстрелы проходят)",1
Прозрачная стена,препятствия,серебро,элемент,"(шарик пролетает, но нельзя поставить зит)",1
"Дверь, открываемая ключом",двери,серебро,элемент,(ключ нужно собрать отдельно),1
Дверь автоматически закрывается через N шагов,двери,серебро,поведение,,1
Дверь автоматически закрывается через N секунд,двери,серебро,поведение,,1
Телепорт между двумя (или более) точками на экране,телепорты,серебро,элемент,,1
Телепорт в случайное место на экране,телепорты,серебро,элемент,,1
Телепорт в случайное место на некоторой области,телепорты,серебро,элемент,,1
Телепорт в случайное место на небольшое расстояние рядом,телепорты,серебро,элемент,,1
"Телепорт, который иногда работает, а иногда нет",телепорты,серебро,элемент,,1
Изменение направления движения (в определённую сторону),движение,серебро,элемент,,1
Изменение направления движения (в случайном направлении),движение,серебро,элемент,,1
Изменение направления движения (по часовой стрелке),движение,серебро,элемент,,1
Ускорение движения,движение,серебро,элемент,,1
Замедление движения,движение,серебро,элемент,,1
Действие элемента деактивируется через N шагов,инвентарь,серебро,поведение,,1
Действие элемента деактивируется через N секунд,инвентарь,серебро,поведение,,1
Лом,инвентарь,серебро,элемент,(может уничтожать препятствия),1
Мина,инвентарь,серебро,элемент,"(можно поставить, и на ней подорвётся противник)",1
Ключ,инвентарь,серебро,элемент,(которым можно открыть дверь),1
Бомбочка,инвентарь,серебро,элемент,"(можно поставить, отойти, и она взорвётся)",1
Верёвка-ловушка,инвентарь,серебро,элемент,(можно поставить и противник в неё поймается),1
Дрель,инвентарь,серебро,элемент,(можно пробивать стены вниз),1
Газовый пистолет,инвентарь,серебро,элемент,(останавливает противников на время),1
Банка с клеем,инвентарь,серебро,элемент,(можно разлить и тогда будет медленное перемещение),1
Кирка,инвентарь,серебро,элемент,(может создать препятствие из камней с «потолка»),1
Динамит,инвентарь,серебро,элемент,"(если на него двинуть камень, он взрывается)",1
Ограниченный рюкзак для элементов,инвентарь,серебро,поведение,,1
Неограниченный рюкзак для элементов,инвентарь,серебро,поведение,,1
Призы медленно перемещаются по карте,призы,серебро,поведение,,1
Дополнительная жизнь,призы,серебро,элемент,,1
Дополнительные патроны или боезапас,призы,серебро,элемент,,1
Улучшение выстрелов или взрывов,призы,серебро,элемент,,1
Ускорение игрока,призы,серебро,элемент,,1
"Дополнительное время (например, на прохождение уровня)",призы,серебро,элемент,,1
Замедление противников (на некоторое время),призы,серебро,элемент,,1
Дополнительные бомбочки,призы,серебро,элемент,,1
Улучшение прочности/бронированности игрока,призы,серебро,элемент,,1
Дополнительные очки,призы,серебро,элемент,,1
Уменьшение жизней,антиприз,серебро,элемент,,1
Уменьшение патронов или боезапаса,антиприз,серебро,элемент,,1
Уменьшение бомбочек,антиприз,серебро,элемент,,1
Уменьшение времени,антиприз,серебро,элемент,,1
Уменьшение очков,антиприз,серебро,элемент,,1
Ухудшение прочности/бронированности,антиприз,серебро,элемент,,1
Ухудшение выстрелов или взрывов,антиприз,серебро,элемент,,1
Замедление игрока,антиприз,серебро,элемент,,1
