Название,Монеты,used,Описание,Идея взята из,color,Тип
нет (это игрок),0,5,,,gray,action
✨ исчезает,1,15,"Объект исчезает, когда на него наступает игрок",,gray,action
⛔️ непроходим,1,21,"Например, стандартная обычная стена (непроходимое препятствие)",,gray,action
🎉 победа,1,13,Собственно это основное назначение клетки финиша :),,blue,action
при старте,0,9,Создаётся на поле изначально,,gray,appear
через время,1,7,,,blue,appear
при взрыве,1,6,,💣 8: Bomberman,blue,appear
использует игрок,1,7,,,blue,appear
когда собрали все монетки,1,2,,,blue,appear
не двигается,0,5,,,gray,move
🖐 управляется человеком,1,23,"Например, с помощью курсорных клавиш",,,move
↗️ в т.ч. по диагонали,,4,"Возможность для игрока двигаться по диагонали

💡 Для этого можно использовать либо цифровую клавиатуру, либо буквенные клавиши, либо вообще дать возможность пользователю самому настраивать клавиши",🏂 7: Inertia,blue,move
⏬ падает (гравитация),2,4,"Падение игрока вниз, если под ним нет опоры

(для базового выполнения задания достаточно, чтобы игрок мгновенно оказывался внизу)

TODO: и другие элементы могут падать",💰 4: Lode Runner,blue,move
🏄‍♂️ инерция неуправляемая,1,5,"Автоматическое движение игрока в определённом направлении (без возможности его изменить), пока он не встретится с преградой, точкой остановки и прочими игровыми элементами",🏂 7: Inertia,blue,move
😃 инерция управляемая,1,3,"Автоматическое движение игрока в определённом направлении, но с возможность изменить направление движения в любой момент",👻 9: Pac-Man,blue,move
🌀 анимация инерции (сразу в конечную точку),1,0,Передвижение сразу в конечную точку.,,blue,move
🌀 анимация инерции,2,5,Присутствует анимация передвижения.,,blue,move
⏩ можно толкать,2,2,"Например, особый “перемещаемый” игроком вид препятствий (камни)",💎 2: Boulder Dash,blue,move
прямолинейное движение,1,10,...,,blue,move
двигается по шаблону,1,1,,,,move
изменяет свой вид в зависимости от направления движения,1,5,"Например, при движении вправо - картинка или символ игрока смотрит вправо, а при движении влево - смотрит влево.",,,move
наивный противник,2,2,"Противник двигается навстречу игроку, но при этом не учитывает наличие препятствий (то есть может упереться в преграду и “тупить”)",,,move
нет,0,1,,,gray,feature
⛏ копает яму,1,2,,💰 4: Lode Runner,blue,feature
🗿 толкает камни,,0,TOFIX: Хм.. Это же фича самого камня?..,💎 2: Boulder Dash,blue,feature
🦠 размножается,2,0,,"🧿 3: New Ball Game,💎 2: Boulder Dash",blue,feature
2️⃣ второй игрок,1,2,"Для случаев, когда игра на двоих (либо по сети, либо за одним компом)","💥 5: Battle City,💰 4: Lode Runner",blue,feature
🧨 определяет соседние мины,1,3,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",🧨 6: Mined-Out,blue,feature
есть инвентарь,1,1,Возможность собирать предметы для дальнейшего их использования,,blue,feature
🔫 стреляет,1,1,"В самом простом виде это может быть хотя бы “мгновенный выстрел”, когда пуля достигает цели сразу.

Если же сделаете плавный полёт пули берите себе в отчёт ещё пару заданий ниже ↓ (TOFIX)",,blue,feature
проигрыш,1,15,,,blue,action
💰 добавляет score,1,20,Добавление некоторого количества очков (score) у текущего результата игрока,,blue,action
🌀 телепорт в случайное место,1,2,,,blue,action
⛔️ непроходим для противников,1,7,,,blue,feature
💥 уничтожимость,1,6,,,blue,feature
🔆 автоматическое восстановление,1,3,"Например, стена, которая через какое-то время сама восстанавливается (вновь появляется после уничтожения)",💰 4: Lode Runner,blue,feature
открывается ключом 🗝,1,5,,🗝 1: Лабиринт,blue,feature
❗️ элемент обязательный,1,12,"Например, чтобы пройти уровень, нужно обязательно все призы",,blue,feature
случайная работоспособность телепорта,1,1,"Имеется в виду, что он может либо сработать, либо не сработать (случайная составляющая)",🧿 3: New Ball Game,blue,feature
Маркировка потенциальных мин,1,1,маркировка выбранной соседней ячейки,🧨 6: Mined-Out,blue,feature
🌀 случайный телепорт в некоторой области,1,1,,,blue,action
🌀 случайный телепорт рядом с игроком,1,0,,,blue,action
ускоряет движение,1,2,Изменение скорости перемещения игрока,,blue,action
замедляет движение,1,0,Изменение скорости перемещения игрока,,blue,action
останавливает игрока,1,6,Актуально для инерциальных игроков,🏂 7: Inertia,blue,action
нет (только визуальный объект),0,0,,,gray,action
Генерация пути для проходимости,,1,,,,appear
После движения игрока,1,1,,,blue,appear
умный противник,4,1,"Некоторый алгоритм поведения, обычно зависящий от игрока (например, для движения к игроку можно использовать волновой алгоритм с учётом препятствий и т.п.)

В зависимости от сложности алгоритма количество монет может быть увеличено/уменьшено",,,move
Ловушка,,1,,,,appear
Проверка на тупик,,1,,,,appear
