Категорія,Коротка назва,Coin,Над-категорія
Інтерфейс: Графічні таски,🌅 Фон анімований (gif),🟢,Інтерфейс
Інтерфейс: Графічні таски,🌅 Фон анімований (shader),🟡,Інтерфейс
Інтерфейс: Графічні таски,Автотайлинг (різний вигляд сутностей в залежності від сусідів),⚪,Інтерфейс
Інтерфейс: Графічні таски,🐭 Створення мишкою,🟤,Інтерфейс
Інтерфейс: Графічні таски,🔎 Масштабування видимої частини,🟤,Інтерфейс
Інтерфейс: Графічні таски,Переміщення видимої частини,🟤,Інтерфейс
Сутності: Фунціонал сутностей,⚔️ Може стріляти,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,📦 Може збирати ресурс,🟤,Сутності (entities)
Сутності: Переміщення по полю,⬇️ Переміщення: зверху вниз,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,✨ Створює іншу сутність,🟤,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: іншої сутності,⚪,Сутності (entities)
Сутності: Фунціонал сутностей,📦 Може взяти сутність,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,📦 Може покласти сутність,🟤,Сутності (entities)
Інтерфейс: Віконця або блоки,▶️ Головний ігровий екран,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,▶️ Головне меню,🟤,Інтерфейс
Інтерфейс: Віконця або блоки,⚙️ Налаштування,🟤,Інтерфейс
Інтерфейс: Налаштування,🔊 Гучність,🟤,Інтерфейс
Інтерфейс: Пункти меню,⚙️ Налаштування,🟤,Інтерфейс
Інтерфейс: Пункти меню,▶️ Нова гра (Start),🟤,Інтерфейс
Інтерфейс: Пункти меню,💾 Збереження ігрової сесії,🟤,Інтерфейс
Функціонал: Збереження,💾 Збереження ігрової сесії,🟤,Функціонал гри
Python: Архітектури,Entity Component System,🟤,Python
Python: Бібліотеки,Arcade,🟡,Python
Python: Бібліотеки,esper,⚪,Python
Python: Бібліотеки,mypy,🟢,Python
Python: Бібліотеки,ruff,🟢,Python
Python: Бібліотеки,requirement.txt,🟢,Python
Python: Бібліотеки,uv,🟢,Python
Python: Бібліотеки,venv,🟢,Python
Python: Бібліотеки,pyenv,🟢,Python
Python: Бібліотеки,pyproject.toml,🟢,Python
Python: Структура кода,Окремий клас для поля,🟢,Python
Python: Структура кода,Окремий клас обробки вводу,🟢,Python
Python: Структура кода,Окремий клас для фізики,🟢,Python
Python: Структура кода,Окремий клас для рендеру,🟢,Python
Python: Структура кода,Базовий клас для сутностей,🟢,Python
Python: Структура кода,Наслідування сутностей від базової,🟢,Python
Інтерфейс: Пункти меню,💾 Завантаження збереженої сесії,🟤,Інтерфейс
Інтерфейс: Пункти меню,🏳️ Вихід з гри,🟤,Інтерфейс
Інтерфейс: Графічні таски,↕️ Вибір пунктів меню курсорними клавішами,🟤,Інтерфейс
Інтерфейс: Графічні таски,🔲 Псевдографіка для меню,🟤,Інтерфейс
Інтерфейс: Графічні таски,🔲 Псевдографіка для ігрового поля,🟤,Інтерфейс
Інтерфейс: Графічні таски,🔲 Псевдографіка для стартового екрану,🟤,Інтерфейс
Сутності: Переміщення по полю,Переміщення: випадкове,🟤,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: по напрямку к гравцю,⚪,Сутності (entities)
Сутності: Фунціонал сутностей,⛔ Не можна пройти крізь сутність (стіна),🟤,Сутності (entities)
Сутності: Фунціонал сутностей,💥 Можна зламати сутність,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,⚔️ Стріляє вперед,🟤,Сутності (entities)
