Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Использование git-репозитория,1,Репозиторий,Разместите ссылку на git-репозиторий в описании отчёта,,25,1,false,Основа,🔘 💾 Использование git-репозитория
Видео-демки,1,Видеодемки,"Загружайте демки в YouTube или Google Drive или прикрепляйте в виде GIF'ок.\nВ каждом задании могут быть свои мини-демки и мини-гифки, но в этом пункте подразумеваются некоторые итоговые комплексные демки, показывающие общий геймплей или все реализованные возможности.\nМожете размещать здесь также и прошлые версии демок (помечая их в тексте).\nЗадание можно продублировать если демонстрационного материала действительно много",,24,1,false,Основа,🔘 🎬 Видео-демки
Точка остановки,1,Прочие,Идея взята из базового варианта игры Инерция\nНа такой точке игрок приостанавливает своё движение и может выбрать новое направление,🏂 7: Inertia,4,1,false,Элемент,🧩 ⛓ Точка остановки
Остановка движения игрока на точке остановки,1,Прочие,↑ основное свойство точки остановки,🏂 7: Inertia,2,1,false,Свойство,🌀 ⛓ Остановка движения игрока на точке остановки
Цветные клетки,1,Интерфейс,"Здесь подразумевается, что разные игровые элементы имеют разные цвета",Почти во всех играх,16,1,false,Интерфейс,✏️ 🎨 Цветные клетки
Музыкальное сопровождение,1,Интерфейс,Фоновая музыка,Почти во всех играх,18,1,false,Интерфейс,✏️ 🎨 Музыкальное сопровождение
Звуковое сопровождение,1,Интерфейс,Звуки при определённых обстоятельствах,Почти во всех играх,14,1,false,Интерфейс,✏️ 🎨 Звуковое сопровождение
Песок,1,Препятствие,"Проходимая для игрока сущность, но непроходимая для противников и камней",💎 2: Boulder Dash,6,1,false,Элемент,🧩 🚧 Песок
Уничтожение песка,1,Препятствие,"Уничтожение песка, когда на него наступает игрок",💎 2: Boulder Dash,4,1,false,Свойство,🌀 🚧 Уничтожение песка
Основной игрок,1,Игрок,"Основной управляемый игровой элемент, присутствующий почти во всех играх",Почти во всех играх,30,1,false,Элемент,🧩 🏃🏻‍♂️ Основной игрок
Второй игрок,1,Игрок,"Для случаев, когда игра на двоих (либо по сети, либо за одним компом)","💰 4: Lode Runner,💥 5: Battle City",3,1,false,Элемент,🧩 🏃🏻‍♂️ Второй игрок
Летящий мячик,2,Игрок,Основной игровой элемент для New Ball Game\n(отбивается от стен и диагональных щитов)\nОднако он может быть опциональным игровым элементом и в других играх,🧿 3: New Ball Game,2,2,false,Элемент,🧩 🏃🏻‍♂️ Летящий мячик
Текущий “курсор”,1,Игрок,Для игры New Ball Game это указатель позиции для вставки диагонального щита\nОднако это задание можно использовать и для других игр для других целей :),🧿 3: New Ball Game,3,1,false,Элемент,🧩 🏃🏻‍♂️ Текущий “курсор”
Управление курсорными клавишами,1,Игрок,Основной стандартный способ управления игроком или курсором,Почти во всех играх,17,1,false,Свойство,🌀 🏃🏻‍♂️ Управление курсорными клавишами
Возможность движения игрока по диагонали,1,"Игрок,Движение","Возможность для игрока двигаться по диагонали\n(для этого можно использовать либо цифровую клавиатуру, либо буквенные клавиши, либо вообще дать возможность пользователю самому настраивать клавиши)",🏂 7: Inertia,2,1,false,Свойство,🌀 🏃🏻‍♂️ ➡️ Возможность движения игрока по диагонали
Разные иконки направлений,1,Игрок,"В зависимости от того, куда направлен игрок ー будет и отображается разная иконка для него",💥 5: Battle City,14,1,false,Интерфейс,✏️ 🏃🏻‍♂️ Разные иконки направлений
Клетка финиша,1,Финиш,По достижении которой игрок побеждает или проходит на следующий уровень,"💎 2: Boulder Dash,💰 4: Lode Runner,🧨 6: Mined-Out,💣 8: Bomberman",8,1,false,Элемент,🧩 🏁 Клетка финиша
Миноискательность игрока,1,Игрок,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",🧨 6: Mined-Out,1,1,false,Свойство,🌀 🏃🏻‍♂️ Миноискательность игрока
Неизменяемая инерция движения игрока,1,"Игрок,Движение","Автоматическое движение игрока в определённом направлении (без возможности его изменить), пока он не встретится с преградой, точкой остановки и прочими игровыми элементами",🏂 7: Inertia,3,1,false,Свойство,🌀 🏃🏻‍♂️ ➡️ Неизменяемая инерция движения игрока
Изменяемая инерция движения игрока,1,"Игрок,Движение","Автоматическое движение игрока в определённом направлении, но с возможность изменить направление движения в любой момент",👻 9: Pac-Man,3,1,false,Свойство,🌀 🏃🏻‍♂️ ➡️ Изменяемая инерция движения игрока
Гравитация для игрока,1,Игрок,"Падение игрока вниз, если под ним нет опоры\n(для базового выполнения задания достаточно, чтобы игрок мгновенно оказывался внизу)",💰 4: Lode Runner,3,1,false,Свойство,🌀 🏃🏻‍♂️ Гравитация для игрока
Плавный эффект падения для гравитации,1,Игрок,"↑ Дополнение к заданию “Гравитация для игрока”: падение должно быть не мгновенным, а плавным (чтобы был виден процесс падения)\nВыбирайте оба эти задания, чтобы получить в итоге суммарно 2 балла за хорошую гравитацию",💰 4: Lode Runner,2,1,false,Свойство,🌀 🏃🏻‍♂️ Плавный эффект падения для гравитации
Реакция на падение игрока,1,Игрок,"Обычно любое падение игрока безболезненное, но можно сделать некоторый “штраф” (по жизням, энергии, очкам или чему угодно другому)",,3,1,false,Свойство,🌀 🏃🏻‍♂️ Реакция на падение игрока
