Опис,coins,used in interface,who added,Назва,Группа,Тип
"Підсумкові комплексні демки, що показують загальний геймплей або більшість зреалізованих можливостей.\nМожна розміщувати тут також і минулі версії демок (позначаючи їх у тексті).\n🧩 Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",1,0,Віталій Ляпота,📽️ Загальна відео-демка (до 5 хв) 🧩,Супровід,Відео-демки
,1,0,Віталій Ляпота,📽️ Коротка відео-демка (до 1 хв) 🧩,Супровід,Відео-демки
"Створення захоплюючого трейлера до гри, що приверне увагу людей до основних можливостей гри\n🧩Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",2,0,Віталій Ляпота,Трейлер гри 🧩,Супровід,Відео-демки
"Йдеться про те що для демонстрації/опису багатьох завдань у звіті записані короткі відеофрагменти з демонстрацією відповідного моменту\n🧩 Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",½,0,Віталій Ляпота,"Невелика демка, що ілюструє конкретний момент 🧩",Супровід,Відео-демки
"Йдеться про опис голосом того, що відбувається на відео",1,0,Віталій Ляпота,Голосовий супровід відеодемки,Супровід,Ефекти демок
,1,0,Віталій Ляпота,📽️ Золоті завдання на 90+,Супровід,Відео-демки
"Опишіть, які використовували\n⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту",1,0,Віталій Ляпота,Додаткові ефекти у відео ⚛️,Супровід,Ефекти демок
⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту,2,0,Віталій Ляпота,Сайт по вашій грі,Супровід,Сайти та канали
,1,0,Віталій Ляпота,📽️ Спільна кодова база,Супровід,Відео-демки
"Блог розробника, в якому публікується інформація яка стосується розробки гри",2,0,Віталій Ляпота,Блог по вашій грі,Супровід,Сайти та канали
Напишіть посилання-запрошення на телеграм канал,1,0,Віталій Ляпота,Телеграм канал по грі,Супровід,Сайти та канали
⚛️Кількість монет може бути збільшена або зменшена залежно від якості сайту,3,0,Віталій Ляпота,Активне ведення каналу ⚛️,Супровід,Сайти та канали
"Створення спільнот для просування гри через соціальні мережі (створення каналів/чатів у Telegram, акаунта гри в Instagram, сторінки або групи гри у Facebook тощо)\n⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту",1,0,Віталій Ляпота,"Акаунти в інших соц. мережах (Facebook, Instagram, Twitch тощо) ⚛️",Супровід,Сайти та канали
🧩 Можна дублювати завдання для кожного рівня\n(і по кожному рівню скриншот),½,62,Віталій Ляпота,Відносно простий рівень для прикладу 🧩,Програма,Рівні
"Спеціальний рівень з інструкціями до гри\n🧩 Можна дублювати, якщо ...",1,2,Віталій Ляпота,Рівень-туторіал 🧩,Програма,Рівні
🧩 Можна дублювати завдання для кожного рівня\n⭕️ Потрібно надати пояснення щодо задуму рівня,1,14,Віталій Ляпота,Продуманий цікавий рівень (із задумкою) 🧩 продуманий.,Програма,Рівні
Різні рівні можуть мати різні розміри поля,1,19,Віталій Ляпота,Варіативні розміри поля,Програма,Фічі рівнів
Наприклад: якщо перейти за лівий край - то з'являємося з правого боку (і аналогічно за вертикаллю),1,2,Віталій Ляпота,"Карта у вигляді ""тора""",Програма,Фічі рівнів
"Видимість тільки найближчого простору поруч із гравцем.\nНаприклад, гравець бачить тільки кілька сусідніх клітинок, а решта для нього невидимі, і ця видима область ""переміщується"" разом із гравцем",2,0,Віталій Ляпота,Обмежена видимість,Програма,Фічі рівнів
"Видима область переміщається з гравцем (фрейм відображуваної області)\nПриблизно як скрол у вікні, але тут він просто залежить від переміщення гравця",2,1,Віталій Ляпота,Скрол видимої області під час руху гравця,Програма,Фічі рівнів
Можливість надалі продовжити гру після повернення,2,5,Віталій Ляпота,Збереження поточного стану гри,Програма,Фічі рівнів
Просто захардкодженні дії (як би візуально ходимо замість гравця)\n⚛️ Залежно від складності реалізації кількість монет може бути збільшено або зменшено,2,1,Віталій Ляпота,Емуляція проходження рівня (без алгоритму) ⚛️,Програма,Проходження гри
Розрахунок оптимального маршруту і далі візуально ходимо замість гравця\n⚛️ Залежно від складності алгоритмів кількість монет може бути збільшено або зменшено,4,1,Віталій Ляпота,Емуляція проходження рівня (алгоритм) ⚛️,Програма,Проходження гри
Просто звичайнісінький рандом для розміщуваних елементів,2,33,Віталій Ляпота,Випадкова генерація рівнів,Програма,Створення рівнів
"Особливі алгоритми генерації, що задають принципи генерації (наприклад, особливі випадкові області з елементами, або розставляння ключів і дверей, або випадкова генерація лабіринту тощо), тобто не тільки звичайний банальний рандом",4,18,Віталій Ляпота,Ускладнена генерація рівнів,Програма,Створення рівнів
"Наприклад, використання особливих шаблонів, формування складних схем, хитромудрі алгоритми, завдяки чому в підсумку рівні виходять красивими/цікавими на вигляд (начебто людина могла їх так придумати/продумати), або їхнє проходження вимагає певної закладеної алгоритмом ""кмітливості"" тощо.\n⚛️ Залежно від складності алгоритмів кількість монет може бути збільшено або зменшено",8,1,Віталій Ляпота,Інтелектуальна генерація рівнів ⚛️,Програма,Створення рівнів
"Щось більш-менш базове, наприклад, перевірка наявності шляху до виходу, можливість зібрати всі призи тощо.\n⚛️ Залежно від складності алгоритмів кількість монет може бути збільшено або зменшено",4,4,Віталій Ляпота,Проверка проходимости уровня ⚛️Проверка проходимости уровня ⚛️,Програма,Проходження гри
"Додаткові перевірки, що використовують особливості ігрової механіки для проходження рівня (наприклад, переміщення каміння, використання інвентарю, облік поведінки супротивників тощо)\n⚛️ Залежно від складності алгоритмів кількість монет може бути збільшено або зменшено",8,1,Віталій Ляпота,Особлива перевірка прохідності рівня ⚛️,Програма,Проходження гри
"Йдеться про перевірку під час гри\nНаприклад, автоматична, тобто щоразу перевіряється, і якщо гравець опиняється в непрохідному глухому куті, то щось відбувається\nЯк задовільна реакція - або автоматичний телепорт в інше місце, або плюс одне життя на ""вибухнути"", або знищення довільної стіни, щоб позбутися глухого кута тощо.",2,2,Віталій Ляпота,Перевірка на глухий кут під час гри,Програма,Проходження гри
"Опціональна підказка або режим гри з постійними підказками: який зробити наступний крок або кілька кроків, щоб у підсумку перемогти\nАлгоритм можна використовувати із ""золотих завдань"" вище",2,0,Віталій Ляпота,Підказка для проходження рівня,Програма,Проходження гри
"Базова можливість створювати нові та редагувати наявні рівні, прямо з інтерфейсу гри\n⚛️ Залежно від складності алгоритмів кількість монеток може бути збільшено або зменшено",4,9,Віталій Ляпота,Редактор рівнів,Програма,Редактор рівнів
Для кожної додаткової фічі створюйте окреме завдання нижче,0,0,Віталій Ляпота,Доп. фічі редактора рівнів,Програма,Редактор рівнів
"Можливість вибору виду заповнення (точка, лінія, з'єднані лінії, прямокутник)",2,1,Михайло Середа,Вибір способу заповнення,Програма,Редактор рівнів
Активний інструмент візуально виділяється,1,5,Михайло Середа,Виділення активних інструментів,Програма,Редактор рівнів
"Наприклад, життя гравця, результати, час тощо.\n💡 Не забудьте додати ще відповідні завдання з розділу ""Статистика""",1,49,Віталій Ляпота,Блок для відображення інформації,Програма,Інтерфейс
"Тут мається на увазі, що різні ігрові елементи мають різні кольори\n🔲 Актуально тільки для консолі",1,65,Віталій Ляпота,Кольорові клітинки 🔲,Програма,Графіка
⭕️  Обов’язкове завдання\nПотрібен скрин прикладу ігрового поля,1,90,Віталій Ляпота,Основне ігрове поле,Програма,Вікна
,1,63,Віталій Ляпота,Головне меню гри,Програма,Вікна
"💡 Не забудьте додати ще відповідні завдання з розділу ""Статистика""",1,23,Віталій Ляпота,Результати гравців,Програма,Вікна
,1,46,Віталій Ляпота,Інструкція до гри,Програма,Вікна
Початкова заставка перед стартовим меню,1,21,Віталій Ляпота,Заставка під час запуску гри,Програма,Вікна
,1,59,Віталій Ляпота,Заставка перемоги,Програма,Вікна
,1,56,Віталій Ляпота,Заставка поразки,Програма,Вікна
Можливість поставити гру на паузу,1,22,Віталій Ляпота,Пауза,Програма,Вікна
,1,21,Віталій Ляпота,Вибір рівня для запуску,Програма,Вікна
,1,20,Віталій Ляпота,Вибір складності гри,Програма,Вікна
Як швидко відбуватимуться всі події в грі,1,8,Віталій Ляпота,Регулювання швидкості гри,Програма,Вікна
Регулювання гучності фонових музики/звуків,1,5,Віталій Ляпота,Налаштування гучності,Програма,Вікна
"Наприклад, вибір між різними наборами символів для відображення в консольній грі (і аналогічно можна для GUI)",2,3,Віталій Ляпота,Вибір стилю (теми) гри,Програма,Вікна
,2,6,Віталій Ляпота,Налаштування сполучень клавіш,Програма,Вікна
"Наприклад, можливість зміни гравця з його налаштуваннями\n(наприклад, зберігається його швидкість і стиль гри, або остання карта, на якій грав гравець, і т.д.)",2,5,Віталій Ляпота,Вибір гравця,Програма,Вікна
"Опишіть у звіті, які саме\n🧩 Завдання може дублюватися за необхідності\n(але краще просто створити нові більш конкретні завдання)",1,2,Віталій Ляпота,Додаткові налаштування 🧩,Програма,Вікна
🔲 Актуально тільки для консолі,1,26,Віталій Ляпота,Вибір пунктів меню курсовими клавішами ↑↓,Програма,Інтерфейс
"Наприклад, фоновим кольором",1,26,Віталій Ляпота,Виділення активного пункту меню,Програма,Інтерфейс
"Публікація гри в загальний доступ через один із майданчиків для розміщення ігор у публічному доступі (наприклад, Steam та інші)\n⚛️Кількість монет може бути збільшена або зменшена залежно від якості сайту",3,0,Віталій Ляпота,Публікація в магазині (Steam тощо)⚛️,Супровід,Сайти та канали
,1,0,Віталій Ляпота,Огляд (рецензія) до гри,Супровід,Сайти та канали
"Наприклад, щось накшталт кода Konami чи будь-яка інша прихована можливість або особливість :)\n🧩 Можна дублювати завдання завдання для кожної пасхалки",1,2,Віталій Ляпота,Пасхалочка  🧩,Програма,Фічі
"Йдеться про гру на одному комп'ютері. Наприклад, різними поєднаннями клавіш для різних гравців, тощо.\n💡 Не забудьте додати ігровий елемент для другого гравця",2,3,Віталій Ляпота,Можливість грати удвох,Програма,Фічі
"Збереження даних окремих гравців\ntodo: швидше за все, це завдання треба роздрібнити на кілька дрібніших...",3,7,Віталій Ляпота,Акаунти,Програма,Фічі
"Магазин, у якому можна купувати різні додаткові можливості або ресурси тощо.\nTODO: Можливо, треба розбити на кілька дрібніших завдань\nTODO: додати різні невеликі завдання, що пояснюють цю функціональність",4,3,Віталій Ляпота,Магазин,Програма,Фічі
"Тут йдеться про реалізацію класів гри в такому вигляді, що їх можна зручно перевикористати, навіть для побудови іншого варіанта гри.\nТобто логіка конкретних ігрових процесів виходить не жорстко зафіксованою, а залежить від тих чи інших конфігураційних параметрів.\nВ ідеалі виходить, що за певних конфігурацій можна отримати навіть зовсім іншу гру на тому самому вихідному коді.",8,0,Віталій Ляпота,Універсальний движок,Програма,Фічі
,12,3,Віталій Ляпота,Можливість грати по мережі,Програма,Фічі
"Опишіть у звіті, як використовувати і для чого",1,0,Віталій Ляпота,Обробка файлів,Супровід,Реалізація
"Опишіть у звіті, як використовувати і для чого",1,0,Віталій Ляпота,Використання потоків (Thread),Супровід,Реалізація
"Розділити опрацювання оновлень ігрового поля і редеринг у окремі потоки, реалізувати синхронізацію з мінімальною шкодою для продуктивності",1,0,Костянтин Щербина,Використання потоків для паралельного опрацювання візуалізації та оновлень,Супровід,Реалізація
Додати обмеження максимальної частоти кадрів задля уникнення надмірного навантаження на систему,1,0,Костянтин Щербина,Обмеження частоти кадрів,Супровід,Реалізація
Підключення та застосування пакетів NuGet у проєкті,1,0,Віталій Ляпота,Використання пакетів NuGet у проекті,Супровід,Реалізація
,1,16,Віталій Ляпота,Введення імені гравця,Програма,Статистика
"Наприклад, кількість зібраних призів тощо.",1,50,Віталій Ляпота,Простий підрахунок очок,Програма,Статистика
"Наприклад, залежна від кількох критеріїв: час проходження, кількість ходів, зібрані призи тощо.",1,5,Віталій Ляпота,Особлива формула для підрахунку очок,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,12,Віталій Ляпота,Кількість ходів,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,17,Віталій Ляпота,Час проходження рівня/гри,Програма,Статистика
"Наприклад, якщо не встигнути виграти за відведений час - game over",1,7,Віталій Ляпота,Зворотний відлік часу,Програма,Статистика
"Наприклад, кількість необов'язкових призів або ключів тощо.",1,6,Віталій Ляпота,Особливі підрахунки бонусів та іншого,Програма,Статистика
Упорядкований за підсумковими результатами,1,6,Віталій Ляпота,Кращі результати,Програма,Статистика
"Наприклад, упорядкований за часом гри",1,5,Віталій Ляпота,Результати всіх ігор,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,26,Артем Воловий,Кількість зібраних призів,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,5,Артем Воловий,Кількість пройдених рівнів,Програма,Статистика
