name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Общая видео-демка (до 5 мин) 🧩,"Итоговые комплексные демки, показывающие общий геймплей или многие реализованные возможности.\nМожно размещать здесь также и прошлые версии демок (помечая их в тексте).\n🧩 Задание можно дублировать если демонстрационного материала много :)",1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Короткая видео-демка (до 1 мин) 🧩,,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Трейлер игры 🧩,"Создание захватывающего трейлера к игре, который привлекает внимание людей к основным возможностям игры\n🧩 Задание можно дублировать если демонстрационного материала много :)",2,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
"Небольшая демка, иллюстрирующая конкретный момент 🧩","Подразумевается, что для демонстрации-описания многих заданий в отчёте записаны короткие видео-фрагменты с демонстрацией соответствующего момента\n🧩 Задание можно дублировать если демонстрационного материала много :)",½,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Голосовое сопровождение видео-демки,"Подразумевается описание голосом того, что происходит на видео",1,,,Ефекти демок,,,,,,Віталій Ляпота,,0,tasks
📽️ Золоті завдання на 90+,,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Дополнительные эффекты в видео ⚛️,"Опишите, какие использовали\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от",1,,,Ефекти демок,,,,,,Віталій Ляпота,,0,tasks
Информационный сайт по игре ⚛️,⚛️ Количество монет может быть увеличено или уменьшено в зависимости от качества сайта,2,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
📽️ Спільна кодова база,,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
Блог разработчика,"Блог разработчика, в котором публикуется информация по поводу игры",2,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
Телеграм-канал по игре,Напишите ссылку-приглашение на телеграм-канал,1,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
Активное ведение канала ⚛️,⚛️ Количество монет может быть увеличено или уменьшено в зависимости от,2,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
"Аккаунты в других соц. сетях (Facebook, Instagram, Twitch и т.п.) ⚛️","Создание сообществ для продвижения игры через социальные сети путем создания каналов/чатов в Telegram, аккаунта игры в Instagram, страницы или группы игры в Facebook и т.д.\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от количества и качества проработки сообщества",1,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
Относительно простой уровень для примера  🧩,🧩 Можно дублировать задание задание для каждого уровня\n(и по каждому уровню скриншот),½,,,Рівні,,,,,,Віталій Ляпота,,41,tasks
Уровень-туториал  🧩,"Специальный уровень с инструкциями к игре\n🧩 Можно дублировать, если ...",1,,,Рівні,,,,,,Віталій Ляпота,,1,tasks
Продуманный интересный уровень (с задумкой)  🧩,🧩 Можно дублировать задание задание для каждого уровня\n⭕️ Нужно дать пояснения по задумке уровня,1,,,Рівні,,,,,,Віталій Ляпота,,8,tasks
Вариативные размеры поля,Разные уровни могут иметь разные размеры поля,1,,,Фічі рівнів,,,,,,Віталій Ляпота,,11,tasks
Карта в виде «тора»,"Имеется в виду, что если, к примеру, перейти за левый край, то появляемся с правой стороны (и аналогично по вертикали)",1,,,Фічі рівнів,,,,,,Віталій Ляпота,,2,tasks
Ограниченная видимость,"Видимость только ближайшего пространства рядом с игроком\nНапример, игрок видит только несколько соседних клеток, а остальные для него невидимы, и эта видимая область «перемещается» вместе с игроком",2,,,Фічі рівнів,,,,,,Віталій Ляпота,,0,tasks
Скрол видимой области при движении игрока,"Видимая область перемещается с игроком (фрейм отображаемой области)\nПримерно как скролл в окне, но тут он просто зависит от перемещения игрока",2,,,Фічі рівнів,,,,,,Віталій Ляпота,,1,tasks
Сохранение текущего состояния игры,И в дальнейшем можно загрузиться и продолжить играть с него,2,,,Фічі рівнів,,,,,,Віталій Ляпота,,3,tasks
Эмуляция прохождения уровня (без алгоритма) ⚛️,Просто захардкодженные действия (как бы визуально ходим вместо игрока)\n⚛️ В зависимости от сложности реализации количество монет может быть увеличено или уменьшено,2,,,Проходження гри,,,,,,Віталій Ляпота,,1,tasks
Эмуляция прохождения уровня (без алгоритма) ⚛️,Просто захардкодженные действия (как бы визуально ходим вместо игрока)\n⚛️ В зависимости от сложности реализации количество монет может быть увеличено или уменьшено,2,,,Проходження гри,,,,,,nktklts,,0,tasks
Эмуляция прохождения уровня (алгоритм) ⚛️,Расчёт оптимального маршрута и далее визуально ходим вместо игрока\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено,4,,,Проходження гри,,,,,,Віталій Ляпота,,1,tasks
