name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
"Автоматична генерація цікавих рівнів, наприклад:","генерація лабірінту якимось алгоритмом\nрозстановка дверей та ключів за певним принципом черговості\nспеціальні області з випадковими елементами\nвикористання «шаблонів», з яких випадково формується мапа\nдеякі «хитрі» (або не дуже) алгоритми генерації\nвкладення певної логіки проходження рівня при генерації",,,,📶 Ігрові рівні (levels),,,,,,,,,notion-algo
"Перевірка проходимості рівня, наприклад:","щось базове, як наявність шляху до виходу або до всіх необхідних кристалів, тощо\nщось складніше, використання особих ігрових моментів (переміщення каменів, використання інвентаря, врахування противників, тощо)\nперевірка може бути на етапі генерації рівня або на етапі його прохождення",,,,📶 Ігрові рівні (levels),,,,,,,,,notion-algo
"Проходження рівня, наприклад:","підказка гравцю, який краще зробити наступний крок\nпідказка гравцю щодо декількох кроків (наприклад, у вигляді шляху)\nемуляція проходження гри замість гравця",,,,📶 Ігрові рівні (levels),,,,,,,,,notion-algo
Редактор рівнів,(тобто створення рівнів користувачем у вашому застосунку),,,,📶 Ігрові рівні (levels),,,,,,,,,notion-algo
шукає гравця за допомогою волнового алгоритму,"(враховуючи перешкоди, тощо)",,,,👾 Противники,,"Певні алгоритми для поведінки противників, наприклад:",,,,,,,notion-algo
"враховує поведінку гравця або його потенційні дії, рухається навиперед",,,,,👾 Противники,,"Певні алгоритми для поведінки противників, наприклад:",,,,,,,notion-algo
створює певні пастки для гравця або чекає у ключових точках,,,,,👾 Противники,,"Певні алгоритми для поведінки противників, наприклад:",,,,,,,notion-algo
може збирати та використовувати елементи інвентаря гравця,,,,,👾 Противники,,"Певні алгоритми для поведінки противників, наприклад:",,,,,,,notion-algo
тощо…,,,,,👾 Противники,,"Певні алгоритми для поведінки противників, наприклад:",,,,,,,notion-algo
Магазин додаткових ресурсів або можливостей,(якщо великий обʼєм роботи),,,,⚙️ Різне,,,,,,,,,notion-algo
Універсальний двіжок,"(можливість побудови двох різних ігор, або комбінацію)",,,,⚙️ Різне,,,,,,,,,notion-algo
Гра по мережі,(тобто зʼєднання по локальній мережі або через Інтернет),,,,⚙️ Різне,,,,,,,,,notion-algo
